stem,cls,split,phash,w,h,n_boxes
normal (30),normal,train,1100000011011000101010101100001010111011001010110110000111010001,550,490,1
normal (31),normal,train,1100000110110100111110100010101000101110001010010110100110011001,547,473,1
normal (32),normal,train,1100000110110101011011101011000110111101100000110100010111000000,557,470,1
normal (33),normal,train,1011110111011101111001100110011101001000100100100011011010000101,777,587,1
normal (34),normal,test,1000111110110101011010010100101000100010100110101001110101011101,779,576,1
normal (35),normal,val,1110010010001100110110101111001000101110001010110001000011110110,616,688,1
normal (36),normal,train,1110100011101001100010000001010000011111110011111001111010010010,812,705,1
normal (37),normal,train,1100011010111111111010010100100101001010010101100001011011000010,816,709,1
normal (38),normal,train,1100010011010100101111111011101111101000111000000001001010010000,763,619,1
normal (39),normal,train,1001100011111001010001101010011110001011100001100100011011000110,757,618,1
normal (4),normal,train,1101101010101100111001001011001110100010111100101100100111000001,578,434,1
normal (40),normal,val,1111001010110010100011010100110001111100001011010011100110001101,763,598,1
normal (41),normal,val,1100011010111000001010000100101000011111111101001001110010110101,761,600,1
normal (42),normal,train,1000000010111110011101111000100110000000110000101010001111001101,763,611,1
normal (43),normal,train,1100010011010100101111111011101111101000100000100001001011100000,759,592,1
normal (44),normal,train,1100011010111000001010000100101000011111111111001011010010110100,761,618,1
normal (45),normal,test,1000000010111110011101110000100110000000110100101010001111001101,767,601,1
normal (46),normal,test,1111001010110000100011010100110011111100101011011011000110001001,393,310,1
normal (47),normal,train,1100011010111000001010000100101000011111111101001011010010110101,391,313,1
normal (48),normal,train,1001100011111001011001101010011110001011100001100000011011000110,392,312,1
normal (49),normal,val,1000000010111110011101110000100110000000110000101011001011001111,396,316,1
normal (5),normal,train,1000110010110000010110011101101101110001111010101001000011000101,765,573,1
normal (50),normal,train,1100010011010100101111111011101011101000111000100001001011000000,392,310,1
normal (51),normal,train,1000011010000011110010010100110010000101001000011111101011111110,554,490,1
normal (52),normal,train,1000011010000011110010010100110010100101001000011111101011111100,552,487,1
normal (53),normal,train,1100010011000100101111111011101111101000111000000001001010010010,757,648,1
normal (54),normal,train,1000011010000011110010010100110010000101001000011111101011111110,554,492,1
normal (55),normal,test,1101000111100001111010000110110000100110011001101100101100011011,557,491,1
normal (56),normal,train,1001100011111001011001101010111110001010100001100000011011000110,763,598,1
normal (57),normal,train,1111000111100001111010110110111000100110110001101100101000011000,548,490,1
normal (58),normal,train,1000000010111000011011001100110111010011110000100011001010110010,554,487,1
normal (59),normal,train,1111001010110010100011010100110001111100001011010011010110001101,765,621,1
normal (6),normal,test,1010101010111011011000010100011011010101100011011001010010011010,776,574,1
normal (60),normal,train,1000000010111000011011001100110111010011110000100011001010110010,552,486,1
normal (61),normal,train,1100011010111000001010000100101000011111111111001001010010110101,752,601,1
normal (62),normal,train,1000000010111110011101110000100110000000110100101010001111001101,763,598,1
normal (63),normal,train,1111001111010011101111000010110001000101010011011100001111010010,558,467,1
normal (64),normal,val,1111001111010011101111000010110001000101010011011100001011110010,558,470,1
normal (65),normal,val,1010110110000101100100100101101101001011010111011110111011000000,670,570,1
normal (66),normal,val,1101011111101010001010001011000111101111101110100001001000111000,561,468,1
normal (67),normal,test,1111000111100001111010100110110000100110010001101100101100011011,545,493,1
normal (68),normal,test,1101000111100001111010010110110000100110011001101100101100011010,558,488,1
normal (69),normal,val,1000000010111000011011001100110111010011110000100011001010110010,556,487,1
normal (7),normal,val,1000000110100101011011110111111010011100011010001101000010100000,770,585,1
normal (70),normal,train,1110110110100100010000110101111100011111110010011000010011100110,557,471,1
normal (71),normal,train,1011010110111101011110100101001011000000001011011011100110000110,547,470,1
normal (72),normal,train,1100000011010111010111110111000101000100000101111110000011000010,916,692,1
normal (73),normal,test,1000110111010101011100000110001000110010100111111000110110001110,509,474,1
normal (74),normal,train,1100110111000010000110111111011010001111101010001100010110010010,558,467,1
normal (75),normal,test,1100001010101000001101011010010011110011110000000011110011011110,556,467,1
normal (76),normal,train,1001000111100000001111100110111100010010110101001101010010100101,555,469,1
normal (77),normal,val,1000110111110001011100000001001010011011101001100011010100011111,560,471,1
normal (78),normal,test,1001111111100101110000100000001001000111100101011011010111110101,731,478,1
normal (79),normal,train,1010110111000100100101000001001100010101001001110111111011101101,703,471,1
normal (8),normal,train,1110111010001100100100010101101110001010101000001011110111101101,775,587,1
normal (80),normal,test,1000110011010001010000110000111010111101101100011100101011001100,562,470,1
normal (81),normal,train,1101101010111010001001010001010100000111011001101100101111110100,767,587,1
normal (82),normal,train,1110110110110001010100110111001110100101100011101000011011001001,560,468,1
normal (83),normal,test,1110010110111000001111111100001101101001000001010101101001100101,619,576,1
normal (84),normal,train,1110010010011100000110110011101111000011101001001101000011011001,509,477,1
normal (85),normal,train,1100001110100100011011000110110110001100110110100100011110010011,557,464,1
normal (86),normal,train,1101000110111001001010011100111100101100100100001101111011000100,552,469,1
normal (87),normal,test,1001001011001101011010110010101111000011011010100010010110010100,552,467,1
normal (88),normal,train,1000000011000011101001110101110010111000001111110110000010110000,560,463,1
normal (89),normal,train,1100110110010001011110011011111010010011110100010011001010000110,558,467,1
normal (9),normal,train,1110010011100100100011110001101101111000010110000101100011111000,495,491,1
normal (90),normal,train,1001010011000001011010111001100011011111001011111110000010001000,558,496,1
normal (91),normal,val,1000000010011000011001101110000010101000110011111001110011110001,558,493,1
normal (92),normal,val,1110110110011101000100001100101110000010111101001111000110101101,554,486,1
normal (93),normal,val,1000100110111100011110101100001000100101100111000110101111000010,770,578,1
normal (94),normal,train,1111000010101011010010001001000110001111011011100111100110110000,678,585,1
normal (95),normal,train,1001110111111011010001010000101000111110100010000011110101010011,693,582,1
normal (96),normal,test,1001000011101000101011110110101010001100100111110100001100010001,687,578,1
normal (97),normal,train,1000000010000100011101110110001111001001101111011011000111000000,560,470,1
normal (98),normal,train,1000000010000100011101110110001111001001101111011011000110000010,562,470,1
normal (99),normal,train,1010011110110001010110011000111100001010011000101100011111110001,556,468,1
